,"Bernard ""Bernie"" Sanders",Donald J. Trump,Evan McMullin,GEO_ID,Gary Johnson,"Gloria Estela
 La Riva",Hillary Clinton,"Jerry
 White","Jill 
Stein",Laurence Kotlikoff,Mike Maturen,S1903_C01_001E,S1903_C01_001M,S1903_C01_002E,S1903_C01_002M,S1903_C01_003E,S1903_C01_003M,S1903_C01_004E,S1903_C01_004M,S1903_C01_005E,S1903_C01_005M,S1903_C01_006E,S1903_C01_006M,S1903_C01_007E,S1903_C01_007M,S1903_C01_008E,S1903_C01_008M,S1903_C01_009E,S1903_C01_009M,S1903_C01_010E,S1903_C01_010M,S1903_C01_011E,S1903_C01_011M,S1903_C01_012E,S1903_C01_012M,S1903_C01_013E,S1903_C01_013M,S1903_C01_014E,S1903_C01_014M,S1903_C01_015E,S1903_C01_015M,S1903_C01_016E,S1903_C01_016M,S1903_C01_017E,S1903_C01_017M,S1903_C01_018E,S1903_C01_018M,S1903_C01_019E,S1903_C01_019M,S1903_C01_020E,S1903_C01_020M,S1903_C01_021E,S1903_C01_021M,S1903_C01_022E,S1903_C01_022M,S1903_C01_023E,S1903_C01_023M,S1903_C01_024E,S1903_C01_024M,S1903_C01_025E,S1903_C01_025M,S1903_C01_026E,S1903_C01_026M,S1903_C01_027E,S1903_C01_027M,S1903_C01_028E,S1903_C01_028M,S1903_C01_029E,S1903_C01_029M,S1903_C01_030E,S1903_C01_030M,S1903_C01_031E,S1903_C01_031M,S1903_C01_032E,S1903_C01_032M,S1903_C01_033E,S1903_C01_033M,S1903_C01_034E,S1903_C01_034M,S1903_C01_035E,S1903_C01_035M,S1903_C01_036E,S1903_C01_036M,S1903_C01_037E,S1903_C01_037M,S1903_C01_038E,S1903_C01_038M,S1903_C01_039E,S1903_C01_039M,S1903_C01_040E,S1903_C01_040M,S1903_C02_001E,S1903_C02_001M,S1903_C02_002E,S1903_C02_002M,S1903_C02_003E,S1903_C02_003M,S1903_C02_004E,S1903_C02_004M,S1903_C02_005E,S1903_C02_005M,S1903_C02_006E,S1903_C02_006M,S1903_C02_007E,S1903_C02_007M,S1903_C02_008E,S1903_C02_008M,S1903_C02_009E,S1903_C02_009M,S1903_C02_010E,S1903_C02_010M,S1903_C02_011E,S1903_C02_011M,S1903_C02_012E,S1903_C02_012M,S1903_C02_013E,S1903_C02_013M,S1903_C02_014E,S1903_C02_014M,S1903_C02_015E,S1903_C02_015M,S1903_C02_016E,S1903_C02_016M,S1903_C02_017E,S1903_C02_017M,S1903_C02_018E,S1903_C02_018M,S1903_C02_019E,S1903_C02_019M,S1903_C02_020E,S1903_C02_020M,S1903_C02_021E,S1903_C02_021M,S1903_C02_022E,S1903_C02_022M,S1903_C02_023E,S1903_C02_023M,S1903_C02_024E,S1903_C02_024M,S1903_C02_025E,S1903_C02_025M,S1903_C02_026E,S1903_C02_026M,S1903_C02_027E,S1903_C02_027M,S1903_C02_028E,S1903_C02_028M,S1903_C02_029E,S1903_C02_029M,S1903_C02_030E,S1903_C02_030M,S1903_C02_031E,S1903_C02_031M,S1903_C02_032E,S1903_C02_032M,S1903_C02_033E,S1903_C02_033M,S1903_C02_034E,S1903_C02_034M,S1903_C02_035E,S1903_C02_035M,S1903_C02_036E,S1903_C02_036M,S1903_C02_037E,S1903_C02_037M,S1903_C02_038E,S1903_C02_038M,S1903_C02_039E,S1903_C02_039M,S1903_C02_040E,S1903_C02_040M,S1903_C03_001E,S1903_C03_001M,S1903_C03_002E,S1903_C03_002M,S1903_C03_003E,S1903_C03_003M,S1903_C03_004E,S1903_C03_004M,S1903_C03_005E,S1903_C03_005M,S1903_C03_006E,S1903_C03_006M,S1903_C03_007E,S1903_C03_007M,S1903_C03_008E,S1903_C03_008M,S1903_C03_009E,S1903_C03_009M,S1903_C03_010E,S1903_C03_010M,S1903_C03_011E,S1903_C03_011M,S1903_C03_012E,S1903_C03_012M,S1903_C03_013E,S1903_C03_013M,S1903_C03_014E,S1903_C03_014M,S1903_C03_015E,S1903_C03_015M,S1903_C03_016E,S1903_C03_016M,S1903_C03_017E,S1903_C03_017M,S1903_C03_018E,S1903_C03_018M,S1903_C03_019E,S1903_C03_019M,S1903_C03_020E,S1903_C03_020M,S1903_C03_021E,S1903_C03_021M,S1903_C03_022E,S1903_C03_022M,S1903_C03_023E,S1903_C03_023M,S1903_C03_024E,S1903_C03_024M,S1903_C03_025E,S1903_C03_025M,S1903_C03_026E,S1903_C03_026M,S1903_C03_027E,S1903_C03_027M,S1903_C03_028E,S1903_C03_028M,S1903_C03_029E,S1903_C03_029M,S1903_C03_030E,S1903_C03_030M,S1903_C03_031E,S1903_C03_031M,S1903_C03_032E,S1903_C03_032M,S1903_C03_033E,S1903_C03_033M,S1903_C03_034E,S1903_C03_034M,S1903_C03_035E,S1903_C03_035M,S1903_C03_036E,S1903_C03_036M,S1903_C03_037E,S1903_C03_037M,S1903_C03_038E,S1903_C03_038M,S1903_C03_039E,S1903_C03_039M,S1903_C03_040E,S1903_C03_040M,winner
Modoc,19.0,2696.0,11.0,0500000US06049,122.0,13.0,877.0,0.0,50.0,0.0,0.0,3660,173,3489,182,35,31,98,66,9,16,0,17,4,6,25,24,268,83,3221,175,66,55,763,130,1372,127,1459,127,2173,196,733,123,1440,160,1750,170,529,114,312,112,114,63,111,60,90,54,1384,186,258,78,285,96,111,56,84,54,51,43,634,129,783,163,682,131,74,55,1487,188,781,137,641,131,140,58,706,124,644,123,62,38,3660,173,95.3,2.2,1.0,0.8,2.7,1.8,0.2,0.4,0.0,1.0,0.1,0.2,0.7,0.7,7.3,2.2,88.0,2.8,1.8,1.5,20.8,3.0,37.5,3.4,39.9,3.5,2173,196,33.7,4.6,66.3,4.6,80.5,5.0,24.3,4.9,14.4,4.6,5.2,2.8,5.1,2.7,4.1,2.4,63.7,6.0,11.9,3.6,13.1,4.2,5.1,2.5,3.9,2.5,2.3,2.0,29.2,5.4,36.0,6.5,31.4,5.4,3.4,2.5,1487,188,52.5,6.1,43.1,6.4,9.4,3.8,47.5,6.1,43.3,6.4,4.2,2.5,45149,5555,45856,5293,-,**,28750,15786,-,**,-,**,-,**,-,**,30667,19474,47323,5299,26121,13357,45750,10591,51275,2650,36654,6928,55964,6394,46629,8652,63914,5269,62188,8384,51473,9185,29479,14769,22365,9335,50586,8760,50750,11415,56806,11353,58889,7916,72750,37523,50580,11933,42303,29051,-,**,49432,8892,42370,9003,73000,8640,93000,58603,26852,3200,22832,2905,20493,4097,47115,11710,29886,14245,29006,6937,52115,35066,
Mono,2.0,2111.0,3.0,0500000US06051,222.0,23.0,2773.0,0.0,142.0,0.0,0.0,4847,426,4416,414,12,25,121,45,33,36,0,19,224,136,41,54,844,211,3816,347,152,80,1326,228,2100,273,1269,141,2524,285,890,235,1634,232,2123,288,637,193,246,121,146,82,155,126,107,113,1606,223,493,163,236,125,176,115,6,11,7,12,349,110,622,171,1384,229,169,117,2323,402,927,188,689,161,238,126,1396,343,1045,290,351,165,4847,426,91.1,3.4,0.2,0.5,2.5,0.9,0.7,0.7,0.0,0.7,4.6,2.8,0.8,1.1,17.4,3.6,78.7,4.3,3.1,1.6,27.4,3.6,43.3,4.1,26.2,2.8,2524,285,35.3,7.5,64.7,7.5,84.1,6.4,25.2,6.5,9.7,4.8,5.8,3.2,6.1,4.8,4.2,4.4,63.6,7.3,19.5,5.8,9.4,4.7,7.0,4.4,0.2,0.4,0.3,0.5,13.8,4.3,24.6,6.2,54.8,6.5,6.7,4.5,2323,402,39.9,7.6,29.7,6.8,10.2,5.3,60.1,7.6,45.0,8.3,15.1,6.3,63018,5826,65685,7863,-,**,56458,30526,-,**,-,**,36524,21149,"250,000+",***,52993,6471,68700,10619,47976,24175,59583,9868,76014,13965,57168,13727,75463,13345,81774,28318,72136,14812,82476,16199,92042,25259,55570,4641,53088,33175,74327,68819,-,**,76759,18030,124226,72934,63910,13743,54600,26710,-,**,-,**,55250,19323,60144,11754,91979,12202,-,**,55279,9231,56625,16975,46546,13875,72917,17642,55134,11681,45348,9247,77455,14661,
Monterey,1025.0,34895.0,358.0,0500000US06053,4547.0,661.0,89088.0,1.0,2823.0,2.0,8.0,126052,906,84382,1069,2952,281,807,169,8047,327,604,108,25152,901,4108,383,55338,740,56108,837,3886,355,42272,928,47218,718,32676,582,91714,1028,42921,1095,48793,964,66002,1267,29902,993,17150,787,8951,636,8562,674,4068,483,32985,953,18996,824,18433,753,11356,638,5533,437,4411,447,10554,553,30211,987,35323,1008,15626,679,34338,997,18827,713,15500,677,3327,362,15511,741,11531,640,3980,377,126052,906,66.9,0.7,2.3,0.2,0.6,0.1,6.4,0.3,0.5,0.1,20.0,0.7,3.3,0.3,43.9,0.5,44.5,0.6,3.1,0.3,33.5,0.6,37.5,0.6,25.9,0.5,91714,1028,46.8,1.0,53.2,1.0,72.0,1.1,32.6,1.0,18.7,0.9,9.8,0.7,9.3,0.7,4.4,0.5,36.0,0.9,20.7,0.9,20.1,0.8,12.4,0.7,6.0,0.5,4.8,0.5,11.5,0.6,32.9,1.0,38.5,1.0,17.0,0.7,34338,997,54.8,1.6,45.1,1.4,9.7,1.1,45.2,1.6,33.6,1.5,11.6,1.0,66676,1234,71144,2025,64281,4948,59375,11733,79132,5093,69133,40002,54262,1684,83375,5406,55720,1373,82328,1888,41008,4859,62239,1400,81645,2156,59158,1702,72659,1609,60607,1723,83184,2125,86251,1955,77389,3729,42121,2733,27368,1860,55415,3052,42619,7841,77731,2788,70509,5712,65854,3243,67516,3538,73885,6196,85585,9371,48760,3232,51732,2054,84247,2617,96458,4784,45449,2230,41287,2183,37164,2106,77969,9426,51096,2856,42347,3764,74754,7044,
Napa,585.0,17411.0,154.0,0500000US06055,2551.0,207.0,39199.0,0.0,1262.0,0.0,3.0,49032,491,39992,490,672,110,402,172,2872,186,35,27,3769,353,1290,192,11458,364,32897,390,759,171,13747,465,19675,440,14851,349,33730,595,14104,471,19626,610,26184,682,10665,521,5053,463,2562,336,2493,365,877,223,15270,590,6615,429,6488,443,3438,272,1329,269,590,134,4384,319,9407,565,14496,641,5443,388,15302,543,9488,402,7874,364,1614,215,5814,428,4447,386,1367,208,49032,491,81.6,0.8,1.4,0.2,0.8,0.4,5.9,0.4,0.1,0.1,7.7,0.7,2.6,0.4,23.4,0.7,67.1,0.6,1.5,0.3,28.0,0.8,40.1,0.8,30.3,0.7,33730,595,41.8,1.3,58.2,1.3,77.6,1.8,31.6,1.6,15.0,1.3,7.6,1.0,7.4,1.0,2.6,0.6,45.3,1.4,19.6,1.2,19.2,1.3,10.2,0.8,3.9,0.8,1.7,0.4,13.0,0.9,27.9,1.5,43.0,1.8,16.1,1.2,15302,543,62.0,2.1,51.5,1.9,10.5,1.4,38.0,2.1,29.1,2.0,8.9,1.3,84753,2198,86365,2925,73939,23682,67857,36011,111888,9651,-,**,67325,5366,90000,14605,63155,4300,93084,2944,51301,9574,85872,3928,102056,2741,63248,2872,97983,2914,91321,5115,102557,3347,110895,2339,109727,4874,57003,5711,43081,7644,62083,9673,44861,10990,94765,4867,99015,5514,108954,9840,85299,7764,107049,13468,156250,28355,62098,5894,69833,6391,115109,4875,120503,5342,50746,2586,47119,3011,39396,2591,109125,17135,57623,6166,49326,4254,90774,12019,
Nevada,685.0,23365.0,179.0,0500000US06057,2378.0,85.0,26053.0,1.0,2189.0,0.0,0.0,40904,677,38392,668,188,93,312,118,354,110,46,48,412,160,1200,257,2707,250,36429,606,367,147,9214,452,16318,471,15005,408,26483,701,8476,423,18007,584,21706,693,5970,370,3361,392,1724,320,1416,268,782,200,15577,694,5493,510,3797,374,1057,190,381,138,178,72,5879,468,8984,621,9807,551,1813,279,14421,649,8144,490,6763,464,1381,216,6277,423,4803,408,1474,247,40904,677,93.9,0.7,0.5,0.2,0.8,0.3,0.9,0.3,0.1,0.1,1.0,0.4,2.9,0.6,6.6,0.6,89.1,0.7,0.9,0.4,22.5,1.0,39.9,1.0,36.7,0.9,26483,701,32.0,1.3,68.0,1.3,82.0,1.6,22.5,1.4,12.7,1.5,6.5,1.2,5.3,1.0,3.0,0.7,58.8,1.8,20.7,1.9,14.3,1.4,4.0,0.7,1.4,0.5,0.7,0.3,22.2,1.6,33.9,2.0,37.0,1.9,6.8,1.1,14421,649,56.5,2.2,46.9,2.5,9.6,1.4,43.5,2.2,33.3,2.3,10.2,1.7,63240,1916,63693,1905,60370,23302,44310,11438,84107,11766,-,**,46875,18576,61900,32403,49581,6449,63954,1921,41536,16228,67713,5403,77960,4952,53079,3022,81203,4533,83376,6939,79967,5218,88282,3085,97865,10354,43807,4269,29328,5815,51000,13992,35357,11395,72381,4348,76218,12809,98009,7041,111656,13192,64904,49003,77778,34252,53353,4938,64065,8161,102563,5507,118352,11519,37184,3613,34019,3029,28319,3506,69153,9013,41779,3148,35004,3637,80288,8913,
Orange,6239.0,507148.0,4917.0,0500000US06059,46128.0,4898.0,609961.0,4.0,18068.0,27.0,131.0,1032373,2799,699669,3044,18555,623,4593,405,197507,1774,2625,306,82397,1861,27027,1280,249414,2068,543131,2667,25246,984,330216,2357,429969,2095,246942,1939,741721,3792,324922,2582,416799,3076,564685,3997,248807,2890,121753,2366,53659,1558,55283,1527,22456,951,282674,3075,169172,2899,161461,2452,74589,1775,31396,1224,22429,873,81949,1724,226332,2639,312242,2989,121198,1972,290652,3205,158371,2278,124973,1982,33398,1276,132281,2071,92434,1797,39847,1461,1032373,2799,67.8,0.3,1.8,0.1,0.4,0.1,19.1,0.2,0.3,0.1,8.0,0.2,2.6,0.1,24.2,0.2,52.6,0.2,2.4,0.1,32.0,0.2,41.6,0.2,23.9,0.2,741721,3792,43.8,0.3,56.2,0.3,76.1,0.3,33.5,0.3,16.4,0.3,7.2,0.2,7.5,0.2,3.0,0.1,38.1,0.4,22.8,0.4,21.8,0.3,10.1,0.2,4.2,0.2,3.0,0.1,11.0,0.2,30.5,0.3,42.1,0.3,16.3,0.2,290652,3205,54.5,0.5,43.0,0.5,11.5,0.4,45.5,0.5,31.8,0.5,13.7,0.5,85398,719,89504,775,75589,3605,68847,6862,88707,1987,89395,16226,59904,1134,89022,4084,65103,711,97369,864,39092,2199,89358,1152,102492,1028,60763,1012,97050,810,94602,1365,99082,1192,113242,1111,114728,1862,53464,1049,37822,1662,66287,2744,58568,4138,87625,1435,100822,1486,111528,2018,99682,3349,89277,3952,95171,3791,46142,1419,71945,1139,118832,1498,126919,1835,54818,777,48702,1043,40717,837,83293,2573,63672,1114,52842,1357,95114,3237,
Placer,1132.0,95138.0,1032.0,0500000US06061,9245.0,238.0,73509.0,1.0,2501.0,10.0,33.0,140661,914,122730,971,2027,263,749,168,7923,400,232,97,2973,381,4027,381,13671,552,112896,913,2702,327,39407,708,55867,759,42685,664,98332,1128,41552,764,56780,999,80935,1252,32810,776,11989,732,5938,504,5408,508,2804,334,46718,1152,19877,916,19721,919,8128,595,2727,373,1161,231,17646,693,30491,970,41014,1091,9181,556,42329,1075,24942,969,21139,923,3803,372,17387,712,13473,618,3914,404,140661,914,87.3,0.4,1.4,0.2,0.5,0.1,5.6,0.3,0.2,0.1,2.1,0.3,2.9,0.3,9.7,0.4,80.3,0.5,1.9,0.2,28.0,0.4,39.7,0.5,30.3,0.5,98332,1128,42.3,0.7,57.7,0.7,82.3,0.7,33.4,0.7,12.2,0.7,6.0,0.5,5.5,0.5,2.9,0.3,47.5,0.9,20.2,0.9,20.1,0.9,8.3,0.6,2.8,0.4,1.2,0.2,17.9,0.7,31.0,0.9,41.7,1.0,9.3,0.6,42329,1075,58.9,1.5,49.9,1.6,9.0,0.9,41.1,1.5,31.8,1.3,9.2,1.0,84357,1469,84057,1692,72303,19235,44293,13390,116409,6806,60250,15797,66563,11540,82739,7255,70247,3715,84997,1837,47130,5794,97498,2817,105732,1884,57211,2005,103298,1787,113940,3215,96447,2372,113641,1987,130645,3665,56462,3691,46537,6863,70046,8468,62321,5122,87517,3452,105318,4107,126190,3291,130163,8361,121098,9321,131301,16908,60942,1720,83351,2249,131438,3679,143490,7677,43654,1952,39596,2001,34218,1851,75272,7959,51819,3311,42237,2363,88388,10037,
Plumas,120.0,5420.0,51.0,0500000US06063,411.0,29.0,3459.0,0.0,186.0,0.0,0.0,8047,337,7352,327,39,43,256,123,64,37,0,19,80,51,256,104,518,89,6969,330,120,80,1564,202,3333,216,3030,179,4859,347,1461,185,3398,289,3793,326,1018,175,690,168,349,137,376,139,94,66,3037,297,730,185,645,186,376,122,71,65,0,19,1279,209,1517,221,1776,299,287,116,3188,309,1831,245,1552,224,279,114,1357,205,1085,177,272,104,8047,337,91.4,1.6,0.5,0.5,3.2,1.5,0.8,0.4,0.0,0.4,1.0,0.6,3.2,1.3,6.4,1.1,86.6,1.8,1.5,1.0,19.4,2.2,41.4,2.3,37.7,2.0,4859,347,30.1,3.2,69.9,3.2,78.1,3.7,21.0,3.5,14.2,3.2,7.2,2.7,7.7,2.9,1.9,1.4,62.5,3.8,15.0,3.5,13.3,3.8,7.7,2.6,1.5,1.3,0.0,0.7,26.3,3.7,31.2,4.4,36.6,5.0,5.9,2.5,3188,309,57.4,5.1,48.7,4.9,8.8,3.5,42.6,5.1,34.0,4.7,8.5,3.1,53270,3391,53898,4236,-,**,61667,61349,23167,14596,-,**,-,**,44405,19853,51774,10779,53919,4441,-,**,73269,19230,53873,5987,46413,4589,69884,8743,82225,14969,66169,7980,80534,5823,107700,21766,30268,6494,21681,12504,48810,6810,47273,19880,57580,6112,79524,14266,88804,16547,110000,31734,-,**,-,**,44984,9454,55801,6501,90291,4076,149508,22926,33668,4245,33467,8138,27213,10035,70954,20183,33915,8560,31165,7066,67614,37641,
Riverside,3387.0,333243.0,2168.0,0500000US06065,24089.0,3433.0,373695.0,3.0,11320.0,4.0,49.0,718349,2722,485341,2912,47612,1078,5750,501,41227,845,1735,284,117968,2339,18716,912,267342,2333,345881,1877,15498,841,237083,2204,284716,1880,181052,1525,524557,3047,238702,2714,285855,2452,388127,3506,170965,2663,93534,1740,47875,1379,42896,1442,19862,965,194714,2338,106338,2074,107317,1919,65292,1821,29245,1119,21651,998,78679,1716,178963,2705,190909,3016,76006,1644,193792,2332,101737,1639,85663,1619,16074,877,92055,1821,70450,1661,21605,1020,718349,2722,67.6,0.3,6.6,0.1,0.8,0.1,5.7,0.1,0.2,0.1,16.4,0.3,2.6,0.1,37.2,0.3,48.1,0.2,2.2,0.1,33.0,0.3,39.6,0.2,25.2,0.2,524557,3047,45.5,0.4,54.5,0.4,74.0,0.4,32.6,0.4,17.8,0.3,9.1,0.3,8.2,0.3,3.8,0.2,37.1,0.4,20.3,0.4,20.5,0.3,12.4,0.3,5.6,0.2,4.1,0.2,15.0,0.3,34.1,0.5,36.4,0.5,14.5,0.3,193792,2332,52.5,0.7,44.2,0.7,8.3,0.5,47.5,0.7,36.4,0.7,11.1,0.5,63948,454,66754,706,60421,2463,53250,3568,81229,3930,72997,18280,50852,1099,73470,2623,54606,778,71482,766,31163,1378,67119,958,76875,1062,45886,794,73082,662,68686,1280,76991,928,84512,768,83573,1032,40644,789,30867,878,53890,1952,47084,2561,65437,1033,71043,1701,79331,1827,78633,2404,82755,2329,84827,2398,38529,733,53666,841,91758,1160,110813,2314,34957,845,30480,723,26577,609,61502,2785,41274,1008,34725,1508,64693,2848,
Sacramento,4429.0,189789.0,2205.0,0500000US06067,24412.0,2556.0,326023.0,0.0,9846.0,5.0,65.0,536029,1825,345908,1711,54741,1199,3823,410,70897,1046,4637,331,31724,1259,24299,1052,93636,1418,291743,1553,18815,754,193544,1464,205716,1557,117954,1333,355363,2240,164005,1867,191358,1992,245857,2403,109516,1961,76853,1649,39174,1304,32653,1167,15315,884,149194,1937,78937,1766,69553,1704,33186,1085,14757,817,9736,527,50360,1235,124833,2296,141208,2396,38962,1284,180666,2171,99872,1750,81234,1500,18638,876,80794,1526,59553,1256,21241,1020,536029,1825,64.5,0.3,10.2,0.2,0.7,0.1,13.2,0.2,0.9,0.1,5.9,0.2,4.5,0.2,17.5,0.3,54.4,0.3,3.5,0.1,36.1,0.2,38.4,0.3,22.0,0.2,355363,2240,46.2,0.4,53.8,0.4,69.2,0.5,30.8,0.5,21.6,0.5,11.0,0.4,9.2,0.3,4.3,0.2,42.0,0.5,22.2,0.5,19.6,0.4,9.3,0.3,4.2,0.2,2.7,0.1,14.2,0.3,35.1,0.6,39.7,0.6,11.0,0.4,180666,2171,55.3,0.7,45.0,0.6,10.3,0.5,44.7,0.7,33.0,0.6,11.8,0.5,63902,512,68735,862,45728,1752,54068,6150,70898,2331,62019,7415,48361,2142,56380,3001,54377,1303,71076,989,31046,1424,64506,945,77787,1010,51129,849,75565,854,67549,1259,81090,1251,92524,1267,91332,1947,41353,1067,30965,964,52252,1436,43544,3272,70539,1431,75775,2257,85997,2099,77139,2165,75614,4316,78366,3484,39548,1858,52577,959,99414,1356,117151,2789,42942,791,39636,1254,33802,1304,65535,3280,48297,1396,41176,1218,69137,4821,
San Benito,158.0,7841.0,86.0,0500000US06069,815.0,138.0,12521.0,0.0,364.0,1.0,0.0,17740,181,15309,297,143,71,182,72,402,59,29,32,1228,193,447,122,8332,230,8508,216,242,102,5648,237,7913,225,3937,231,14175,329,6616,336,7559,343,10711,437,4664,361,2206,256,1234,231,1258,231,718,185,5064,291,3222,348,3082,324,1520,282,623,144,664,145,1559,190,4083,318,5679,391,2854,303,3565,330,1928,240,1356,198,572,170,1637,216,1251,188,386,119,17740,181,86.3,1.4,0.8,0.4,1.0,0.4,2.3,0.3,0.2,0.2,6.9,1.1,2.5,0.7,47.0,1.2,48.0,1.2,1.4,0.6,31.8,1.3,44.6,1.3,22.2,1.2,14175,329,46.7,2.1,53.3,2.1,75.6,2.6,32.9,2.5,15.6,1.8,8.7,1.6,8.9,1.6,5.1,1.3,35.7,1.8,22.7,2.3,21.7,2.2,10.7,2.0,4.4,1.0,4.7,1.0,11.0,1.3,28.8,2.2,40.1,2.7,20.1,2.0,3565,330,54.1,4.4,38.0,4.8,16.0,4.3,45.9,4.4,35.1,4.3,10.8,3.2,81977,4226,80934,4197,113438,74866,88750,69633,114762,21213,-,**,74889,9533,110129,16586,68707,4458,97123,4924,59076,12141,86031,6720,94102,5455,66119,5926,86787,5616,84691,11929,87347,7703,103081,4007,108514,6220,45500,9014,37281,13253,58750,11878,46579,9696,79333,5656,86179,9654,98019,8545,103191,33658,86875,23184,111125,12944,52465,11167,56165,7014,105236,3890,116467,8310,49365,5857,41563,7100,35714,4311,73800,27748,60451,14148,53750,6415,90750,24845,
San Bernardino,4551.0,271240.0,1877.0,0500000US06071,21050.0,3786.0,340833.0,0.0,10604.0,5.0,37.0,630633,2099,411892,2514,57486,1185,5521,499,44939,831,1591,263,89816,1693,19388,946,268830,1951,245477,1672,19607,1116,227013,2078,255852,2152,128161,1299,481066,2620,226091,2378,254975,2419,327131,3041,149185,2558,107066,2369,55276,1744,46869,1668,21630,1154,162081,2587,107014,1973,99727,2271,61155,1775,29453,1335,21636,1030,63106,1405,172232,2625,173280,2856,72448,1631,149567,2154,78277,1515,64148,1406,14129,819,71290,1465,53846,1468,17444,929,630633,2099,65.3,0.3,9.1,0.2,0.9,0.1,7.1,0.1,0.3,0.1,14.2,0.3,3.1,0.1,42.6,0.3,38.9,0.2,3.1,0.2,36.0,0.3,40.6,0.3,20.3,0.2,481066,2620,47.0,0.4,53.0,0.4,68.0,0.5,31.0,0.5,22.3,0.5,11.5,0.4,9.7,0.3,4.5,0.2,33.7,0.5,22.2,0.4,20.7,0.5,12.7,0.4,6.1,0.3,4.5,0.2,13.1,0.3,35.8,0.5,36.0,0.6,15.1,0.3,149567,2154,52.3,0.7,42.9,0.8,9.4,0.5,47.7,0.7,36.0,0.9,11.7,0.6,60164,626,61892,830,45424,2761,50971,2674,78328,3473,63083,16241,55321,1373,60037,3881,56813,832,64707,873,34106,1718,61847,1096,71039,929,43769,840,66415,772,58800,955,72863,835,80647,890,77998,1561,37123,1056,25881,1191,51397,1474,42382,1852,57767,1193,65612,1832,75581,1860,70688,1936,69939,2794,79108,3947,28888,956,46653,997,86282,1281,110533,1773,35368,821,30223,802,25540,875,56119,3071,42051,1115,35659,1519,62525,3432,
San Diego,10255.0,477766.0,4851.0,0500000US06073,51663.0,3353.0,735476.0,22.0,22820.0,42.0,152.0,1118980,3147,845739,3115,57035,1099,6806,452,118034,1565,4261,457,50510,1572,36595,1355,281417,2290,630392,2634,39962,1407,410089,2928,419162,2398,249767,1933,753761,3992,335189,3537,418572,3010,561609,4813,242778,3770,133874,2651,66423,1820,58278,1738,25988,1246,315047,3140,172580,3518,150237,2862,70695,1754,27901,1081,17301,794,92925,1859,251096,3029,319050,3798,90690,2133,365219,3308,186956,2223,144224,2169,42732,1364,178263,2501,121205,2051,57058,1961,1118980,3147,75.6,0.2,5.1,0.1,0.6,0.1,10.5,0.1,0.4,0.1,4.5,0.1,3.3,0.1,25.1,0.2,56.3,0.2,3.6,0.1,36.6,0.2,37.5,0.2,22.3,0.2,753761,3992,44.5,0.4,55.5,0.4,74.5,0.4,32.2,0.4,17.8,0.4,8.8,0.2,7.7,0.2,3.4,0.2,41.8,0.4,22.9,0.4,19.9,0.3,9.4,0.2,3.7,0.1,2.3,0.1,12.3,0.2,33.3,0.4,42.3,0.4,12.0,0.3,365219,3308,51.2,0.5,39.5,0.5,11.7,0.4,48.8,0.5,33.2,0.5,15.6,0.5,74855,578,76101,707,54525,1702,56181,5923,93426,2703,67579,4397,55121,1818,74120,2968,56215,852,84785,712,39169,1215,77790,997,90175,1112,56126,841,86138,709,81433,1335,89805,889,102398,918,103056,1622,44698,1220,33535,1295,59268,1811,52804,2200,79436,956,87767,1493,98669,1703,87679,2181,84092,3541,91181,3794,44704,1109,61578,1018,109069,1229,118707,1562,51585,636,44924,946,37146,788,76395,2019,59154,1514,48403,1189,88545,3349,
San Francisco,2021.0,37688.0,373.0,0500000US06075,8883.0,1799.0,345084.0,5.0,9904.0,13.0,22.0,359673,1844,198382,1754,18041,654,984,218,108383,1369,1052,215,19035,1029,13796,983,42414,957,178446,1373,10202,550,151511,1362,118509,1259,79451,1037,172190,2115,60447,1415,111743,1868,130006,2226,46735,1402,28786,1078,10356,751,13398,803,3356,374,86252,1826,38533,1446,29328,1057,10458,703,4115,353,3504,359,20429,764,46565,1685,85547,1886,19649,801,187483,2122,87966,1565,63607,1365,24359,815,99517,1620,65815,1438,33702,1111,359673,1844,55.2,0.4,5.0,0.2,0.3,0.1,30.1,0.3,0.3,0.1,5.3,0.3,3.8,0.3,11.8,0.3,49.6,0.3,2.8,0.2,42.1,0.3,32.9,0.3,22.1,0.3,172190,2115,35.1,0.7,64.9,0.7,75.5,0.8,27.1,0.7,16.7,0.6,6.0,0.4,7.8,0.5,1.9,0.2,50.1,0.8,22.4,0.8,17.0,0.6,6.1,0.4,2.4,0.2,2.0,0.2,11.9,0.4,27.0,0.9,49.7,0.9,11.4,0.4,187483,2122,46.9,0.6,33.9,0.6,13.0,0.4,53.1,0.6,35.1,0.7,18.0,0.5,104552,1533,127158,1982,30442,3847,61250,23572,88016,2853,76333,14707,59497,5674,114399,7415,72578,3962,132154,2438,63884,7259,144088,2461,99540,2359,48834,2153,122900,2705,137655,4883,116749,2575,147724,2931,172381,6640,60280,5139,38694,4347,78242,3831,84423,19845,113630,4062,126309,4771,142209,6682,121853,11673,122532,12434,145417,7479,36197,2835,82400,2621,168576,4217,141024,5795,83611,1518,74021,2156,52474,2158,157974,6517,92911,3480,62545,2915,172219,7556,
